User_Name;Repo_Name;Commits_On_Main;Open_Issues;Closed_Issues;Contributors;Total_Lines;Most_Used_Language;Max_Lang_Lines
slidevjs;slidev;1065;75;251;67;260407;TypeScript;172883
ossrs;srs;8014;181;3;78;5512895;C++;4775477
angular;material;4945;279;8739;394;3210388;JavaScript;2687404
GeekyAnts;NativeBase;5174;325;2764;210;1215070;TypeScript;1188245
jsdom;jsdom;3543;426;1649;291;3515702;JavaScript;2797167
reactnativecn;react-native-guide;157;4;19;39;0;None;0
kelthuzadx;hosts;1260;3;887;79;297073;Rascal;294101
facebook;fresco;3142;176;2058;207;4154437;Java;3646024
freefq;free;3925;208;106;2;0;None;0
dotnet;core;3683;364;4422;288;5074;Shell;5074
less;less.js;2958;156;2619;245;874627;JavaScript;552423
pubkey;rxdb;6734;9;528;140;1696700;TypeScript;1627662
adam-golab;react-developer-roadmap;92;35;19;16;1364;JavaScript;1364
PyTorchLightning;pytorch-lightning;6636;548;4238;633;3900040;Python;3847374
arendst;Tasmota;14908;13;8459;215;69882082;C;49064818
facert;awesome-spider;146;23;15;24;0;None;0
linlinjava;litemall;1151;27;312;53;5380152;Java;3955003
kdeldycke;awesome-falsehood;440;5;22;31;0;None;0
mybatis;mybatis-3;3996;208;1000;186;3287636;Java;3267908
valyala;fasthttp;1456;59;712;140;1038625;Go;1038625
framework7io;framework7;6511;143;3162;139;5134031;JavaScript;2193478
processing;p5.js;9474;209;3024;463;2760924;JavaScript;2645855
basecamp;trix;2640;72;664;37;466368;CoffeeScript;440819
SortableJS;Vue.Draggable;520;183;833;33;100786;JavaScript;55792
you-dont-need;You-Dont-Need-JavaScript;137;36;13;36;21;CSS;21
LingCoder;OnJava8;1331;3;183;125;0;None;0
jtoy;awesome-tensorflow;278;31;10;81;0;None;0
