User_Name;Repo_Name;Commits_On_Main;Open_Issues;Closed_Issues;Contributors;Total_Lines;Most_Used_Language;Max_Lang_Lines
conwnet;github1s;295;49;123;36;2140459;JavaScript;1364442
portainer;portainer;2965;844;3234;217;5618294;JavaScript;1833642
google;gson;1645;634;967;123;1330243;Java;1330243
Meituan-Dianping;mpvue;2328;471;1264;135;2551383;JavaScript;2511342
ColorlibHQ;gentelella;449;48;610;61;2333404;HTML;1484289
SwiftGGTeam;the-swift-programming-language-in-chinese;2491;3;394;218;2480;CSS;2270
vercel;swr;593;71;513;131;275419;TypeScript;274894
tornadoweb;tornado;4395;233;1507;357;1558276;Python;1551877
AllThingsSmitty;css-protips;337;11;44;34;0;None;0
ruanyf;weekly;404;1723;434;27;0;None;0
react-bootstrap;react-bootstrap;4303;170;3103;434;867354;TypeScript;608924
meilisearch;MeiliSearch;3347;50;825;74;683677;Rust;671227
jlmakes;scrollreveal;949;20;450;22;51538;JavaScript;51538
xuxueli;xxl-job;1694;891;1633;54;767055;Java;766528
BradLarson;GPUImage;1082;992;1308;130;1221089;Objective-C;1218233
bregman-arie;devops-exercises;571;17;36;76;18853;Python;16004
localForage;localForage;1122;220;489;104;296831;JavaScript;273016
facebookarchive;pop;310;59;211;58;405528;Objective-C++;240788
datasciencemasters;go;296;86;23;37;0;None;0
viraptor;reverse-interview;181;25;14;45;0;None;0
ApolloAuto;apollo;18068;1118;2465;286;23471781;C++;19612623
apache;incubator-mxnet;11799;1985;7709;870;24573092;C++;11845778
enzymejs;enzyme;1973;288;1490;366;929386;JavaScript;929172
yeasy;docker_practice;1185;2;194;99;6967500;Go;6967500
vuejs;vuepress;2123;526;1387;367;403252;JavaScript;223209
ruanyf;es6tutorial;2040;1;533;207;25703;JavaScript;15257
zsh-users;zsh-autosuggestions;530;105;401;47;84411;Shell;53109
eslint;eslint;8352;102;8854;880;11405639;JavaScript;11400667
dnSpy;dnSpy;3932;185;83;69;20028186;C#;19981441
viatsko;awesome-vscode;680;58;23;179;250;JavaScript;250
nicolargo;glances;4242;217;1237;136;949581;Python;828813
SamyPesse;How-to-Make-a-Computer-Operating-System;243;84;27;37;696022;C;518507
JohnCoates;Aerial;1303;44;893;54;836317;Swift;834185
haizlin;fe-interview;1230;4924;14;6;2861414;JavaScript;1649232
Reactive-Extensions;RxJS;2357;288;643;279;6587632;JavaScript;6057051
jaredhanson;passport;548;332;390;34;248217;JavaScript;247809
withastro;snowpack;3435;376;528;403;1164268;JavaScript;645469
elixir-lang;elixir;18241;23;4618;1092;6924374;Elixir;6377739
ReactiveX;RxAndroid;518;1;340;68;63679;Java;62631
necolas;react-native-web;1789;97;1471;146;246777;JavaScript;220527
ehang-io;nps;700;274;3;31;611212;Go;589943
coder2gwy;coder2gwy;58;108;23;3;0;None;0
sebastianruder;NLP-progress;776;34;65;279;15051;Python;13681
onevcat;Kingfisher;2448;70;1124;164;924838;Swift;868004
youngyangyang04;leetcode-master;3985;110;31;213;0;None;0
tipsy;profile-summary-for-github;219;16;58;10;37902;Vue;20494
sirupsen;logrus;1218;76;3;253;146407;Go;146005
avajs;ava;1899;81;1473;283;573184;JavaScript;561975
railsware;upterm;2998;220;533;64;414998;TypeScript;399197
goldfire;howler.js;886;311;1036;94;131479;JavaScript;120541
libgdx;libgdx;14898;235;3283;528;27431623;Java;14504891
uglide;RedisDesktopManager;2093;34;4461;74;782028;C++;393560
dotnet-architecture;eShopOnContainers;3965;51;1075;149;1654196;C#;942920
StevenBlack;hosts;2873;35;1310;117;133532;Python;128390
sickcodes;Docker-OSX;412;149;187;39;86496;Shell;43925
vercel;pkg;1092;54;1153;56;455537;JavaScript;354898
Seldaek;monolog;2532;48;671;400;792327;PHP;792327
alpinejs;alpine;1669;19;552;188;3173192;HTML;2864565
OWASP;CheatSheetSeries;1392;38;223;251;29390;Python;13281
